word,com1,com2,com3,com5,com6,com7,com8,com9
گـُل ,شلنگ آب را گرفته بود به باغچه تا گلها را آب دهد .,گل را در طبقات رسوبی می‌توان به راحتی تشخیص داد,برای تولدش چند شاخه گل هم خریدم .,گل را در داخل گلدان قرار دهیم.,نحوه کاشت گل در گلدان مانند هر کار دیگری راه و روش خود را دارد و باید برای اینکار به نکاتی توجه کنیم ,بذر گل مورد نظر را در گلدان قرار می دهیم و روی آن را به ورمی کمپوست یا همان خاک اولیه پر می کنیم,درهنگام کاشت گل در گلدان برای آبیاری باید ببینیم هر وقت که سطح خاک گلدان کمی خشک شد آبیاری را انجام دهیم.,در نحوه کاشت گل در گلدان می توانیم گل هایی را که برای کاشت در گلدان مناسب ترند انتخاب کنیم.
گـِل,"آبگیرها، باتلاق ها و مناطق گلی با خاک نرم  پس از بارندگی مکان های دردسر سازی هستند",گاهی در حین رانندگی لاستیک ماشین شما در گل و لای و چاله های جاده های خاکی گیر می افتد و با هر بار گاز دادن متوجه می شوید که ماشین بیشتر در چاله فرو می رود.,روش درآوردن ماشین از گل و باتلاق نه تنها نیاز به وسایل کمکی دارد بلکه باید نحوه انجام این روش ها را دانسته و کمی هم خلاقیت داشته باشید., .گل لای را با خود به پایین دست می آورد و در مدت کوتاه سیلاب به راه می اندازد.,"باید به کودکان فرصت داد از راه گِل بازی، مجسمه سازی، کولاژ و نقاشی احساسات و عقاید خویش را بیان نمایند.",گِل بازی باعث میشود کودکان با طبیعت ارتباط برقرار کنند. ,محققان معتقدند گِل بازی کردن سبب ارتقاء هوش کودکان می شود و آنها را با هنرهای پایه مثل خلق اجسام آشنا میکند.,
مَشک ,تُلُم زدن یا مشک زدن کاری بسیار سخت و طاقت فرسا است که تو سط زنان انجام می شود . ,مشک از پوست گوسفند یا بز تهیه می شود.,به این صورت که پوست گوسفند یا بز ذبح شده را بدون اینکه در سطح آن پارگی ایجاد کنند از لاشه حیوان جدا کرده و طی فرآیندی آنرا آماده ی استفاده جهت مشک آب یا تهیه محصولات دامی می نمایند . ,مشک را در هنگام استفاده با مقداری دود ضد عفونی می کنند و شیر را داخل آن ریخته و آنقدر تکان می دهند تا چربی شیر از آن جدا شود و کره به دست آید .,"محصول مشک ، کره و دوغ است که از کره ی آن روغن اعلای کرمانشاهی به دست می آید .",,,
مُشک,مُشک دسته‌ای از مواد معطر است.,از مشک طبیعی در اواخر قرن نوزدهم به‌طور گسترده‌ای در عطرسازی استفاده می‌شد,"مشک از زمان کشف، یکی از عناصر اصلی تشکیل دهنده بسیاری از عطرها بوده‌است، و برای داشتن عطری قوی و ماندگاری طولانی مدت به عنوان یک ماده ثابت کننده استفاده می‌شود. ","از مشک مصنوعی جدا از کاربرد آن در صنعت مراقبت شخصی، برای مصارف پزشکی نیز استفاده می‌شود.",برخی از مطالعات معتقدند که مشک مصنوعی می‌تواند برای انسان مضر باشد.,این اسانس بویی مانند مشک دارد که تقریبا آروماتیک و چوبی و خاکی است و بویی شیرین و پودری می گیرد.,,
کِشت ,محصولات قابل کشت در پایان تابستان کدام هستند؟,قیمت اصلی پک کشت پاییزه ارائه شده به صورت تک تک ارزشی معادل 100000 تومان دارد که شما می ‌توانید با پرداخت 85000 تومان این پکیج کاشت پاییزی را خریداری نمایید.,خرید پکیج کشت پاییزه شامل 16 نوع بذر با موارد ذیل می باشد.,سلول هاي  پوششي را از بافت جدا كرده و بر سطح پلاستيكي  ظروف معمولي كشت داده شد و ماهيت پوششي آنها به روش ايمونوسيتوشيمي بررسي شد.,"کشاورزان باید هنگام تصمیم‌گیری در مورد کشت یک محصول خاص عواقب کار خود را هم در نظر داشته باشند و با اقدام به کشت یک محصول با نیاز آبی بالا، سرمایه‌های آبی خود را به مخاطره نیاندازند.",,,
کـُشت,آتیلا حتی به برادر خودش هم رحم نکرد و برای قدرت او را کشت., او هر کسی را که دوست نداشت می‌کشت و سال ۱۹۵۳ خودش هم تن به مرگ داد.,"این بیماری حدود ۱ نفر در هر ۳ نفر از افراد آلوده را می کشت و بازماندگانی با زخم های عمیق، دائمی و غالبا نابینایی برجای می گذاشت.",,,,,
تـَنگ,"دلایل مختلفی برای تنگ بودن لباس وجود دارد برای مثال شست‌وشوی نامناسب ،قرار گرفتن لباس نخی در شرایط نامناسب و خرید لباس کوچک می‌تواند از دلایل تنگ بودن لباس ها باشد.",آب موجود در لباس تنگ بعد از خشک شدن باعث می شود گشادتر شود.,این لباس برای شما تنگ و نامناسب است.,تنگی نفس احتمالاً نشانه یک مشکل پزشکی است.,"در هنگام نفس تنگی، ممکن است احساس کنید نمی‌توانید هوای کافی به ریه‌های خود وارد کنید یا نمی‌توانید این کار را به اندازه کافی سریع انجام دهید.",احساس تنگ شدن نفس در هنگام بیماری تنفسی شایعتر است.,,
تـُنگ,تنگ نوعی ظرف است که اغلب برای نگهداری مایعات از آن استفاده می‌شود.,تنگ یک دهانه دارد که از آن می‌توان مایع را ریخت یا نوشید و اغلب یک دسته نیز دارد.,در داخل تنگ می توان ماهی انداخت و در سفره عید از آن استفاده کرد.,"بیشتر تنگها در طول تاریخ از سرامیک، شیشه یا پلاستیک ساخته شده‌اند.",,,,
شِکـَر ,نزدیک به ۸۰٪ از شکر تولیدی در جهان از نیشکر و مابقی از چغندر قند به‌دست می‌آید. ,برزیل به‌تنهایی حدود نیمی از شکر دنیا را تولید می‌کند.,شکر تا قرن هجدهم میلادی همچنان در اروپا جزو کالاهای لوکس و تجملی به حساب می‌آمد.,"شکر شامل گلوکز، فروکتوز، گالاکتوز است که در بسیاری از گیاهان، میوه‌ها و لبنیات و … وجود دارد.",,,,
شـُکر,شُکر سپاسگزاری و قدردانی زبانی و عملی از نعمت‌های خدا است.,"بر همین اساس، شکر نعمت باعث برکت و افزون شدن آنها می‌شود.","امام علی(ع)، شکر را نشانه ایمان و تقوا و مایه برکت و حفظ نعمت‌ها خوانده است.",,,,,
