word,com1,com2
گـُل ,شلنگ آب را گرفته بود به باغچه تا گلها را آب دهد .,گل را در طبقات رسوبی می‌توان به راحتی تشخیص داد
گـِل,"آبگیرها، باتلاق ها و مناطق گلی با خاک نرم  پس از بارندگی مکان های دردسر سازی هستند",گاهی در حین رانندگی لاستیک ماشین شما در گل و لای و چاله های جاده های خاکی گیر می افتد و با هر بار گاز دادن متوجه می شوید که ماشین بیشتر در چاله فرو می رود.
مَشک ,تُلُم زدن یا مشک زدن کاری بسیار سخت و طاقت فرسا است که تو سط زنان انجام می شود . ,مشک از پوست گوسفند یا بز تهیه می شود.
مُشک,مُشک دسته‌ای از مواد معطر است.,از مشک طبیعی در اواخر قرن نوزدهم به‌طور گسترده‌ای در عطرسازی استفاده می‌شد
کِشت ,محصولات قابل کشت در پایان تابستان کدام هستند؟,قیمت اصلی پک کشت پاییزه ارائه شده به صورت تک تک ارزشی معادل 100000 تومان دارد که شما می ‌توانید با پرداخت 85000 تومان این پکیج کاشت پاییزی را خریداری نمایید.
کـُشت,آتیلا حتی به برادر خودش هم رحم نکرد و برای قدرت او را کشت., او هر کسی را که دوست نداشت می‌کشت و سال ۱۹۵۳ خودش هم تن به مرگ داد.
تـَنگ,"دلایل مختلفی برای تنگ بودن لباس وجود دارد برای مثال شست‌وشوی نامناسب ،قرار گرفتن لباس نخی در شرایط نامناسب و خرید لباس کوچک می‌تواند از دلایل تنگ بودن لباس ها باشد.",آب موجود در لباس تنگ بعد از خشک شدن باعث می شود گشادتر شود.
تـُنگ,تنگ نوعی ظرف است که اغلب برای نگهداری مایعات از آن استفاده می‌شود.,تنگ یک دهانه دارد که از آن می‌توان مایع را ریخت یا نوشید و اغلب یک دسته نیز دارد.
شِکـَر ,نزدیک به ۸۰٪ از شکر تولیدی در جهان از نیشکر و مابقی از چغندر قند به‌دست می‌آید. ,برزیل به‌تنهایی حدود نیمی از شکر دنیا را تولید می‌کند.
شـُکر,شُکر سپاسگزاری و قدردانی زبانی و عملی از نعمت‌های خدا است.,"بر همین اساس، شکر نعمت باعث برکت و افزون شدن آنها می‌شود."
مِلک,"ملک و در علم حسابداری، کلیهٔ اموال و حقوقی است که دارای ارزش پولی باشند.","  زمین، ساختمان، موجودی نقدی و موجودی کالا، یا به صورت حقوق مالی و امتیازات غیرقابل رؤیت، مثل سرقفلی و مطالبات از اشخاص را ملک گویند."
مُلک,"همان‌طور که در نسخه‌ی مصحح پژمان بختیاری آمده، تشبیه کردن دهان تنگ یار به ملک پهناور سلیمان بسیار نابجاست",دهان تنگ شیرینش مگر ملک سلیمان است
مَلَک,ملک الموت به اذن خداوند روح انسان‌ها را از جسم جدا می‌کند.,ملک به معنای موجوداتى است که مخلوق و واسطۀ بين خدا و بين عالم مشهوداند.
کـُشتی,مسابقات کشتی آزاد و فرنگی  نونهالان استان کهگیلویه و بویراحمد به منظور حضور در رقابت های کشوری برگزار شد.,تفاهم نامه همکاری بین رؤسای هیئت کشتی استان های شمال غرب کشور به امضاء رسید.
کِشتی,کشتی های تجاری مدرن امروزی در شکل ها و اندازه های مختلفی وجود دارند و برای حمل انواع بارها طراحی می شوند.,شرکت مرسک دارای ۵۸۳ کشتی می باشد که از این تعداد ۲۶۵ فروند برای خود شرکت و ۳۱۸ فروند کشتی مابقی در اجاره این شرکت می باشد.
